,Coral health,Fish biomass and diversity,Diving,Snorkelling,Tourists,Volunteers,Conservation funds,Artificial Reefs,Env Regulation of Tourist Activities,Government legislation,NGO guidelines,Social media campaigns,Dive Centre Env Activity,Government funding,Education,Stakeholder Engagement,Partial MPAs,Full marine reserves,Fishing
Coral health,,4,,3,,-2,,-2,3,2,,3,,1,,1,2,2,
Fish biomass and diversity,3,,4,4,,-1,,-2,,-2,,3,,,,3,,,3
Diving,-3,-1,,,3,2,1,3,2,,2,3,3,,2,3,2,,-2
Snorkelling,-2,-2,,,3,2,1,2,2,,,1,1,,1,1,1,,-2
Tourists,-1,-1,3,4,,3,3,,3,1,3,3,2,2,1,3,,,3
Volunteers,,,2,3,2,,4,4,2,,2,2,2,2,3,2,,,-1
Conservation funds,,,,,,,,4,3,,,3,3,,2,,,,
Artificial Reefs,3,4,3,3,3,2,,,,,,3,,1,,2,2,2,-3
Env Regulation of Tourist Activities,3,3,-1,-3,-2,,,,,,,,1,,2,3,3,,
Government legislation,,,,,,,,,4,,2,3,2,,2,3,3,3,-2
NGO guidelines,,,,,,,,2,3,,,3,2,,3,3,2,2,-2
Social media campaigns,,,,,3,3,,,3,,2,,2,,4,3,,,-1
Dive Centre Env Activity,2,2,3,2,,2,2,,2,,,3,,,2,2,,,-1
Government funding,,,,,,,4,,,4,,,,,2,,,,
Education,,,1,,,2,,,,,,,,,,4,,,
Stakeholder Engagement,1,1,1,1,2,1,3,3,,,2,2,2,,,,3,3,-2
Partial MPAs,2,2,2,2,1,1,,1,3,,2,1,2,,2,2,,1,-2
Full marine reserves,4,4,3,3,2,3,,1,4,,2,2,2,,3,3,-1,,-3
Fishing,-2,-4,-1,-1,,,,-2,-1,,2,1,,,,3,-3,-3,
